,"ppl","age"
"1024","person",70
"1025","person",48
"1026","person",70
"1027","person",66
"1028","person",64
"1029","person",63
"1030","person",83
"1031","person",62
"1032","person",72
"1033","person",56
"1034","person",68
"1035","person",76
"1036","person",57
"1037","person",64
"1038","person",58
"1039","person",58
"1040","person",41
"1041","person",57
"1042","person",49
"1043","person",72
"1044","person",72
"1045","person",87
"1046","person",67
"1047","person",71
"1048","person",47
"1049","person",64
"1050","person",64
"1051","person",56
"1052","person",77
"1053","person",74
"1054","person",52
"1055","person",41
"1056","person",56
"1057","person",70
"1058","person",68
"1059","person",75
"1060","person",43
"1061","person",63
"1062","person",60
"1063","person",67
"1064","person",81
"1065","person",71
"1066","person",59
"1067","person",75
"1068","person",75
"1069","person",56
"1070","person",79
"1071","person",82
"1072","person",64
"1073","person",78
"1074","person",59
"1075","person",59
"1076","person",75
"1077","person",61
"1078","person",54
"1079","person",68
"1080","person",66
"1081","person",59
"1082","person",78
"1083","person",50
"1084","person",59
"1085","person",66
"1086","person",67
"1087","person",60
"1088","person",79
"1089","person",87
"1090","person",55
"1091","person",61
"1092","person",65
"1093","person",59
"1094","person",66
"1095","person",63
"1096","person",70
"1097","person",62
"1098","person",59
"1099","person",59
"1100","person",59
"1101","person",68
"1102","person",72
"1103","person",70
"1104","person",61
"1105","person",81
"1106","person",70
"1107","person",67
"1108","person",59
"1109","person",54
"1110","person",67
"1111","person",48
"1112","person",53
"1113","person",57
"1114","person",72
"1115","person",67
"1116","person",76
"1117","person",73
"1118","person",75
"1119","person",72
"1120","person",44
"1121","person",73
"1122","person",66
"1123","person",61
"1124","person",54
"1125","person",59
"1126","person",63
"1127","person",68
"1128","person",64
"1129","person",41
"1130","person",64
"1131","person",55
"1132","person",61
"1133","person",62
"1134","person",62
"1135","person",73
"1136","person",66
"1137","person",54
"1138","person",61
"1139","person",48
"1140","person",56
"1141","person",47
"1142","person",66
"1143","person",73
"1144","person",61
"1145","person",38
"1146","person",91
"1147","person",55
"1148","person",61
"1149","person",64
"1150","person",67
"1151","person",50
"1152","person",65
"1153","person",44
"1154","person",59
"1155","person",63
"1156","person",72
"1157","person",56
"1158","person",68
"1159","person",72
"1160","person",68
"1161","person",62
"1162","person",59
"1163","person",76
"1164","person",68
"1165","person",86
"1166","person",80
"1167","person",68
"1168","person",54
"1169","person",65
"1170","person",81
"1171","person",57
"1172","person",75
"1173","person",66
"1174","person",75
"1175","person",59
"1176","person",67
"1177","person",52
"1178","person",52
"1179","person",76
"1180","person",80
"1181","person",63
"1182","person",57
"1183","person",66
"1184","person",73
"1185","person",48
"1186","person",77
"1187","person",68
"1188","person",64
"1189","person",69
"1190","person",60
"1191","person",58
"1192","person",51
"1193","person",59
"1194","person",52
"1195","person",78
"1196","person",79
"1197","person",63
"1198","person",56
"1199","person",92
"1200","person",78
"1201","person",55
"1202","person",63
"1203","person",56
"1204","person",59
"1205","person",62
"1206","person",79
"1207","person",67
"1208","person",55
"1209","person",74
"1210","person",80
"1211","person",69
"1212","person",62
"1213","person",65
"1214","person",79
"1215","person",68
"1216","person",72
"1217","person",83
"1218","person",52
"1219","person",66
"1220","person",61
"1221","person",57
"1222","person",67
"1223","person",45
"1224","person",75
"1225","person",77
"1226","person",64
"1227","person",48
"1228","person",79
"1229","person",78
"1230","person",75
"1231","person",71
"1232","person",88
"1233","person",80
"1234","person",87
"1235","person",56
"1236","person",79
"1237","person",73
"1238","person",80
"1239","person",73
"1240","person",64
"1241","person",50
"1242","person",67
"1243","person",72
"1244","person",57
"1245","person",39
"1246","person",60
"1247","person",64
"1248","person",73
"1249","person",64
"1250","person",68
"1251","person",48
"1252","person",82
"1253","person",77
"1254","person",53
"1255","person",57
"1256","person",58
"1257","person",67
"1258","person",56
"1259","person",69
"1260","person",73
"1261","person",60
"1262","person",58
"1263","person",57
"1264","person",65
"1265","person",64
"1266","person",60
"1267","person",61
"1268","person",45
"1269","person",62
"1270","person",69
"1271","person",54
"1272","person",78
"1273","person",66
"1274","person",61
"1275","person",70
"1276","person",72
"1277","person",68
"1278","person",64
